log S,v,log Returns,garch h
4.60517019,0.04000000,-0.01006206,0.04365691
4.59510812,0.04309581,0.02351440,0.04093202
4.61862252,0.03953355,-0.00092149,0.05507014
4.61770102,0.04238775,0.00041016,0.04724397
4.61811119,0.04324069,-0.00785674,0.04068916
4.61025445,0.04260094,0.00253141,0.03712791
4.61278586,0.03766115,-0.01247001,0.03247228
4.60031585,0.03721314,0.01346384,0.03337389
4.61377968,0.03559615,0.01109659,0.03563370
4.62487627,0.03184137,0.00170176,0.03546081
4.62657803,0.03311751,-0.00349586,0.03093322
4.62308217,0.02785781,0.01029073,0.02733666
4.63337290,0.02972326,-0.00408276,0.02788784
4.62929015,0.03491715,0.01812794,0.02492302
4.64741809,0.02461318,-0.02449139,0.03375634
4.62292669,0.03228493,-0.00939434,0.04954344
4.61353235,0.03326135,-0.00618954,0.04543437
4.60734282,0.03419396,0.01958083,0.04033595
4.62692365,0.02612804,0.01257114,0.04861116
4.63949479,0.02040117,-0.00356821,0.04758562
4.63592658,0.02059642,0.00377843,0.04131658
4.63970501,0.01994231,0.00373301,0.03628642
4.64343802,0.01575559,-0.01447712,0.03205548
4.62896090,0.02073423,0.00273051,0.03484873
4.63169140,0.01882656,0.00744350,0.03060201
4.63913490,0.01556368,0.00318386,0.02881146
4.64231877,0.01633691,-0.00275460,0.02564292
4.63956417,0.01567594,-0.01209550,0.02275761
4.62746866,0.02115096,0.00242356,0.02491807
4.62989222,0.02094610,-0.01810993,0.02221263
4.61178229,0.02402010,-0.00096064,0.03060600
4.61082165,0.02541406,-0.00557560,0.02673110
4.60524605,0.02503958,0.00473043,0.02441678
4.60997648,0.01886219,0.00097648,0.02241780
4.61095297,0.02319245,0.01181742,0.01991161
4.62277038,0.02366291,0.00829975,0.02286559
4.63107013,0.02283430,0.01045600,0.02281075
4.64152613,0.01714685,-0.00292086,0.02421518
4.63860528,0.01542488,0.00673935,0.02158910
4.64534463,0.01387925,-0.00296471,0.02089143
4.64237992,0.01502563,-0.00765143,0.01880986
4.63472848,0.01573793,-0.00524584,0.01867560
4.62948264,0.01816362,-0.00489980,0.01754610
4.62458283,0.01589223,0.00940629,0.01648561
4.63398912,0.01529600,0.00167568,0.01816492
4.63566480,0.01331153,-0.00100223,0.01642601
4.63466257,0.01492888,-0.00129514,0.01484225
4.63336742,0.01455733,0.00483945,0.01353056
4.63820687,0.01282680,0.00012384,0.01332780
4.63833071,0.01326654,0.00481890,0.01223657
4.64314960,0.00959751,0.00451850,0.01223537
4.64766811,0.01163621,0.00463507,0.01213021
4.65230317,0.01146038,0.00901988,0.01208169
4.66132305,0.01101021,-0.00046267,0.01421648
4.66086039,0.01415505,-0.00151454,0.01297482
4.65934585,0.01560913,0.01065438,0.01198077
4.67000022,0.01462410,-0.00798149,0.01528326
4.66201873,0.01509381,-0.00465380,0.01588913
4.65736493,0.01527434,-0.01997428,0.01502063
4.63739065,0.01972110,-0.00908707,0.02698826
4.62830358,0.02252605,-0.00609155,0.02633135
4.62221203,0.02446436,-0.00462852,0.02427771
4.61758351,0.02476240,0.00558914,0.02204739
4.62317265,0.02541827,-0.01587375,0.02075786
4.60729890,0.03116139,-0.00642396,0.02680902
4.60087494,0.03203469,0.00581348,0.02481439
4.60668842,0.03001941,-0.00388853,0.02317197
4.60279989,0.02826865,0.01362079,0.02091952
4.61642068,0.02525150,0.00481150,0.02534086
4.62123219,0.01921384,0.01531873,0.02322138
4.63655092,0.01874701,0.00652213,0.02901161
4.64307305,0.01810259,-0.00149362,0.02701080
4.64157943,0.01679211,-0.00176431,0.02374902
4.63981512,0.01190475,0.00856932,0.02103797
4.64838444,0.01030466,0.00037506,0.02144192
4.64875950,0.01148822,-0.00052337,0.01905096
4.64823612,0.01325932,0.00289367,0.01702943
4.65112979,0.01391988,-0.01574854,0.01569517
4.63538124,0.01739654,-0.00410313,0.02242962
4.63127812,0.01842087,-0.01590149,0.02035130
4.61537662,0.02213755,0.00090441,0.02649795
4.61628103,0.02515682,0.00347495,0.02332664
4.61975598,0.02477789,0.00610655,0.02111755
4.62586253,0.02105138,-0.00740202,0.02019978
4.61846052,0.02018320,-0.00561005,0.01971707
4.61285046,0.02139848,-0.00546664,0.01854766
4.60738382,0.02261833,0.00298680,0.01751546
4.61037062,0.02329186,0.00668834,0.01612388
4.61705895,0.02161255,0.00741459,0.01628364
4.62447354,0.02206209,0.00183410,0.01678919
4.62630764,0.02125406,-0.02086715,0.01529536
4.60544049,0.02683774,-0.00305143,0.02845951
4.60238906,0.03010616,0.00139566,0.02517211
4.60378472,0.03202861,0.00712987,0.02226555
4.61091460,0.02960837,0.01087351,0.02165532
4.62178811,0.02749459,0.01237550,0.02356431
4.63416361,0.02229726,-0.00297119,0.02640898
4.63119242,0.02390368,0.00715836,0.02343780
4.63835077,0.02048339,-0.01118995,0.02265307
4.62716082,0.02010079,-0.00223319,0.02412206
4.62492763,0.01795934,-0.01912596,0.02140459
4.60580168,0.02131961,0.00304863,0.03121369
4.60885031,0.02117210,-0.00384638,0.02762496
4.60500393,0.02163419,-0.00286674,0.02464330
4.60213719,0.02309573,0.01614722,0.02193854
4.61828441,0.02010895,-0.00566239,0.02885758
4.61262202,0.02085231,-0.00175194,0.02623165
4.61087008,0.02115039,0.00996080,0.02311858
4.62083088,0.01895771,-0.01460424,0.02411175
4.60622664,0.02331395,-0.01121015,0.02831240
4.59501649,0.02405032,-0.00710750,0.02888290
4.58790899,0.02556803,-0.01560546,0.02685741
4.57230353,0.02923497,0.00936866,0.03163788
4.58167219,0.03023983,0.01111843,0.03084558
4.59279062,0.02847549,0.01183296,0.03146302
4.60462358,0.02461758,0.00908393,0.03256516
4.61370751,0.02429843,0.01143438,0.03143461
4.62514189,0.02207289,-0.00417897,0.03221100
4.62096292,0.02150419,0.00086120,0.02857346
4.62182412,0.02494434,0.00418009,0.02506341
4.62600420,0.02360759,0.01376537,0.02277736
4.63976957,0.02036457,0.01064858,0.02703919
4.65041815,0.01941359,-0.01122457,0.02790614
4.63919358,0.02307276,-0.00387675,0.02855308
4.63531683,0.02138140,-0.00707886,0.02542898
4.62823797,0.02246066,0.01869327,0.02394772
4.64693124,0.01416838,0.00713158,0.03367221
4.65406282,0.01339617,0.00846931,0.03122130
4.66253213,0.01237342,-0.00685198,0.02991987
4.65568016,0.01048537,0.00012047,0.02760955
4.65580062,0.01073820,-0.00041448,0.02421248
4.65538615,0.01074916,-0.00563051,0.02135668
4.64975563,0.01184082,-0.00235483,0.01993003
4.64740080,0.01069067,0.00156012,0.01790579
4.64896093,0.00946567,0.01094683,0.01619305
4.65990776,0.00787417,0.00155035,0.01904100
4.66145810,0.00672745,0.00003164,0.01714370
4.66148974,0.00706555,0.00328060,0.01543374
4.66477034,0.00679110,0.00425609,0.01444890
4.66902643,0.00474037,0.00801330,0.01390050
4.67703974,0.00403575,0.00710664,0.01512457
4.68414638,0.00337707,-0.00282807,0.01565523
4.68131831,0.00409836,-0.00128410,0.01439485
4.68003422,0.00493217,0.00187864,0.01315467
4.68191286,0.00375739,-0.01094972,0.01225440
4.67096314,0.00789689,-0.00418153,0.01522382
4.66678161,0.00698755,-0.00661256,0.01432948
4.66016905,0.01058763,0.00142743,0.01443025
4.66159649,0.01024137,0.00107402,0.01326178
4.66267051,0.00711624,-0.00033968,0.01224301
4.66233083,0.00660123,0.00411071,0.01131944
4.66644154,0.00724970,-0.00421809,0.01123076
4.66222345,0.00813167,-0.00424747,0.01099084
4.65797598,0.00836541,0.00080750,0.01079757
4.65878348,0.00823954,0.00887279,0.01015300
4.66765627,0.00856949,-0.00354109,0.01250462
4.66411517,0.00908280,0.00766998,0.01189323
4.67178515,0.00683139,0.00419266,0.01324694
4.67597782,0.00642961,0.00029261,0.01287255
4.67627042,0.00552261,-0.00041371,0.01186123
4.67585672,0.00690391,-0.00059823,0.01099948
4.67525848,0.00689561,-0.00695139,0.01027897
4.66830709,0.01074994,0.00312160,0.01118474
4.67142869,0.01033904,-0.00340853,0.01084691
4.66802016,0.01223011,-0.01076020,0.01047440
4.65725996,0.01411242,0.01058731,0.01359328
4.66784727,0.01195633,-0.00201341,0.01658455
4.66583386,0.01207674,-0.00666973,0.01505687
4.65916414,0.01323991,-0.01474542,0.01506514
4.64441872,0.01574151,0.00410790,0.02086640
4.64852661,0.01474754,0.00683618,0.01923553
4.65536279,0.01309463,-0.01373287,0.01896561
4.64162992,0.01439529,-0.00425457,0.02316315
4.63737535,0.01650935,-0.00173183,0.02100663
4.63564352,0.01563123,0.00921459,0.01873517
4.64485811,0.01276399,-0.01299411,0.01992324
4.63186400,0.01637618,0.00467102,0.02330031
4.63653502,0.01580720,-0.00150530,0.02146086
4.63502972,0.01596788,0.00369420,0.01909603
4.63872391,0.01845536,-0.00918679,0.01762952
4.62953713,0.01968000,-0.00624822,0.01854426
4.62328891,0.02140938,-0.00229595,0.01781102
4.62099296,0.01925641,0.00873685,0.01612079
4.62972981,0.01956406,0.00459076,0.01742289
4.63432057,0.02097069,0.00086878,0.01650470
4.63518936,0.01901433,0.00835493,0.01494374
4.64354429,0.01669783,-0.00684640,0.01620096
4.63669789,0.02225731,0.00101998,0.01610299
4.63771788,0.02239131,0.00499792,0.01462033
4.64271580,0.02063650,-0.02301232,0.01429932
4.61970348,0.02853750,-0.02444346,0.03083110
4.59526003,0.03459363,0.00975724,0.04701042
4.60501726,0.03505250,0.00137056,0.04400264
4.60638782,0.03930852,0.01085099,0.03805297
4.61723881,0.03599738,0.00167731,0.03729717
4.61891612,0.03386816,-0.00723229,0.03246966
4.61168383,0.03566151,-0.00316169,0.02992408
4.60852215,0.03932689,0.00236062,0.02642133
4.61088277,0.04331600,0.01379722,0.02346129
4.62467999,0.04226543,-0.00365979,0.02764383
4.62102019,0.04699695,-0.00622754,0.02461506
4.61479265,0.05120967,-0.02979473,0.02289328
4.58499792,0.05773186,-0.01904319,0.05027205
4.56595473,0.06116841,0.00975423,0.05531325
4.57570896,0.06300609,0.00107813,0.05096290
4.57678709,0.06374664,-0.02270797,0.04385785
4.55407912,0.06197765,-0.03196521,0.05514317
4.52211391,0.06926547,-0.01781847,0.08190302
4.50429544,0.07893599,-0.02490527,0.08030412
4.47939017,0.07562409,-0.00577109,0.08927400
4.47361908,0.07271182,0.00217409,0.07693453
4.47579318,0.07224579,0.00783683,0.06578566
4.48363001,0.07131104,-0.02606837,0.05853212
4.45756164,0.08437802,0.00223202,0.07304126
4.45979366,0.07901252,0.03211809,0.06253115
4.49191174,0.06799669,-0.00793174,0.08994917
4.48398001,0.06766650,0.00543759,0.07847430
4.48941760,0.06298429,0.01146826,0.06801348
4.50088586,0.06115722,-0.00263165,0.06291201
4.49825421,0.06403628,0.00555580,0.05398973
4.50381001,0.06662503,0.01059236,0.04752961
4.51440238,0.06396438,0.00104643,0.04504582
4.51544881,0.06424291,-0.01499387,0.03889298
4.50045494,0.06411559,-0.00750775,0.04109716
4.49294719,0.06555638,0.00064641,0.03729272
4.49359360,0.06211210,-0.01002531,0.03235871
4.48356829,0.06296257,-0.00046553,0.03143319
4.48310275,0.07270000,-0.00262783,0.02741199
4.48047493,0.07224841,-0.00040173,0.02422044
4.48007319,0.07878648,0.00650085,0.02136330
4.48657404,0.07759698,0.01518876,0.02058718
4.50176281,0.07527882,-0.00418904,0.02666241
4.49757376,0.07691475,-0.00269017,0.02392335
4.49488359,0.07890471,-0.01385010,0.02130503
4.48103349,0.08450442,-0.00150193,0.02523402
4.47953156,0.08016049,0.00778172,0.02225976
4.48731328,0.07982244,-0.00941158,0.02200222
4.47790170,0.08046520,-0.03448707,0.02235037
4.44341463,0.08410362,0.02621849,0.06014440
4.46963312,0.07467715,-0.04364048,0.07589845
4.42599264,0.08805484,0.02197696,0.12957936
4.44796960,0.08726003,0.02991704,0.12694910
4.47788664,0.08367309,0.00291821,0.13918999
4.48080486,0.08994494,-0.01319770,0.11813892
4.46760716,0.09336616,-0.05333221,0.10583920
4.41427495,0.10284555,0.02730361,0.18698157
4.44157856,0.09975796,-0.00421479,0.18429373
4.43736378,0.10010447,0.02380367,0.15611261
4.46116745,0.10074682,-0.00311047,0.15213579
4.45805698,0.11298521,0.03657205,0.12889255
4.49462902,0.10355564,-0.00040448,0.15628935
4.49422454,0.10003522,0.00813984,0.13211022
4.50236438,0.09445202,0.00000000,0.11432353
